PlayerId,Number,Name,PositionId,BirthDate,Nationality,Height,FootId,Value,ValueUnitId,Age,TeamId
105,6,Batista Mendy,5,12 Oca 2000,Fransa,"1,91m",2,7,2,23,4
106,5,Berat Özdemir,5,23-May-98,Türkiye,"1,87m",2,4.2,2,25,4
107,21,Dimitrios Kourbelis,5,2 Kas 1993,Yunanistan,"1,81m",2,1.5,2,29,4
108,23,Umut Güneş,6,16-Mar-00,Türkiye,"1,77m",1,2.5,2,23,4
109,16,Kerem Şen,6,14 Haz 2002,Türkiye,"1,77m",2,425,1,21,4
110,20,Ognjen Bakic,6,6 Oca 2003,Karadağ,"1,78m",2,100,1,20,4
111,11,Anastasios Bakasetas,7,28 Haz 1993,Yunanistan,"1,81m",1,10,2,30,4
112,10,Abdülkadir Ömür,7,25 Haz 1999,Türkiye,"1,68m",1,8,2,24,4
113,8,Enis Bardhi,7,2 Tem 1995,Kuzey Makedonya,"1,72m",2,6,2,28,4
114,91,Tonio Teklic,7,9 Eyl 1999,Hırvatistan,"1,82m",1,1.6,2,24,4
115,33,Göktan Gürpüz,7,22 Oca 2003,Türkiye,"1,76m",2,375,1,20,4
116,27,Mahmoud Trezeguet,8,1 Eki 1994,Mısır,"1,79m",2,10,2,29,4
117,99,Mislav Orsic,8,29 Ara 1992,Hırvatistan,"1,79m",2,4,2,30,4
118,29,Nicolas Pépé,9,29-May-95,Fildişi Sahili,"1,83m",1,14,2,28,4
119,7,Edin Visca,9,17 Şub 1990,Bosna-Hersek,"1,72m",2,3,2,33,4
120,14,Taxiarchis Fountas,10,4 Eyl 1995,Yunanistan,"1,70m",3,4.8,2,28,4
121,30,Paul Onuachu,11,28-May-94,Nijerya,"2,01m",2,13,2,29,4
122,9,Umut Bozok,11,19 Eyl 1996,Türkiye,"1,78m",2,3.7,2,27,4
123,94,Enis Destan,11,15 Haz 2002,Türkiye,"1,86m",2,1.1,2,21,4
124,16,Muhammed Şengezer,1,5 Oca 1997,Türkiye,"1,92m",2,1.1,2,26,5
125,1,Volkan Babacan,1,11 Ağu 1988,Türkiye,"1,92m",2,300,1,35,5
126,98,Deniz Dilmen,1,5 Haz 2005,Türkiye,"2,00m",1,50,1,18,5
127,5,Léo Duarte,2,17 Tem 1996,Brezilya,"1,83m",2,3.3,2,27,5
128,27,Ousseynou Ba,2,11 Kas 1995,Senegal,"1,92m",2,3.1,2,27,5
129,32,Edgar Ié,2,1-May-94,Gine-Bissau,"1,82m",2,2,2,29,5
130,3,Jerome Opoku,2,14 Eki 1998,Gana,"1,97m",1,1.5,2,25,5
131,41,Efe Arda Koyuncu,2,8 Tem 2005,Türkiye,"1,80m",2,175,1,18,5
132,34,Yağız Dilek,2,9-May-05,Türkiye,"1,90m",1,50,1,18,5
133,6,Lucas Lima,3,10 Eki 1991,Brezilya,"1,79m",1,1.5,2,32,5
134,88,Cemali Sertel,3,6 Oca 2000,Türkiye,"1,86m",1,1.3,2,23,5
135,24,Eren Karaağaç,3,24-May-04,Türkiye,-,1,50,1,19,5
136,15,Léo Dubois,4,14 Eyl 1994,Fransa,"1,78m",2,4.3,2,29,5
137,42,Ömer Ali Şahiner,4,2 Oca 1992,Türkiye,"1,75m",2,900,1,31,5
138,70,Burak Sefa Kavraz,4,5-May-05,Türkiye,-,2,50,1,18,5
139,90,Eden Karzev,5,11 Nis 2000,İsrail,"1,86m",2,2.5,2,23,5
140,4,Onur Ergün,5,15 Kas 1992,Türkiye,"1,85m",2,750,1,30,5
141,21,Mahmut Tekdemir,5,20 Oca 1988,Türkiye,"1,78m",3,150,1,35,5
142,10,Berkay Özcan,6,15 Şub 1998,Türkiye,"1,80m",2,4.2,2,25,5
143,26,Emirhan İlkhan,6,1 Haz 2004,Türkiye,"1,75m",2,3.5,2,19,5
144,19,Mehdi Abeid,6,6 Ağu 1992,Cezayir,"1,78m",2,2,2,31,5
145,80,Berkay Aydoğmuş,6,7 Oca 2004,Türkiye,"1,80m",2,175,1,19,5
146,85,Mohamed Hassan Fofana,6,6-May-05,Fildişi Sahili,"1,87m",2,50,1,18,5
147,23,Deniz Türüç,12,29 Oca 1993,Türkiye,"1,77m",1,2.4,2,30,5
148,14,Dimitrios Pelkas,7,26 Eki 1993,Yunanistan,"1,75m",2,2.7,2,29,5
149,8,Danijel Aleksic,7,30 Nis 1991,Sırbistan,"1,82m",1,1.8,2,32,5
150,99,Emmanuel Dennis,8,15 Kas 1997,Nijerya,"1,75m",2,7,2,25,5
151,7,Serdar Gürler,8,14 Eyl 1991,Türkiye,"1,75m",2,2,2,32,5
152,18,Patryk Szysz,9,1 Nis 1998,Polonya,"1,77m",1,1.2,2,25,5
153,9,Krzysztof Piatek,11,1 Tem 1995,Polonya,"1,83m",2,5.5,2,28,5
154,25,João Figueiredo,11,27-May-96,Brezilya,"1,80m",2,2.5,2,27,5
155,17,Philippe Keny,11,18-May-99,Senegal,"1,90m",2,1.7,2,24,5
156,29,Efecan Barlık,11,13 Oca 2003,Türkiye,"1,93m",2,200,1,20,5
157,91,Batuhan Çelik,11,12 Oca 2005,Türkiye,"1,87m",2,200,1,18,5
158,71,Shahrudin Mahammadaliyev,1,12 Haz 1994,Azerbaycan,"1,85m",2,800,1,29,6
159,25,Ertaç Özbir,1,25 Eki 1989,Türkiye,"1,87m",2,600,1,33,6
160,1,Yılmaz Aktaş,1,12-May-03,Türkiye,"1,91m",2,50,1,20,6
161,39,Vedat Karakuş,1,28 Şub 1998,Türkiye,"1,85m",1,50,1,25,6
162,5,Andreaw Gravillon,2,8 Şub 1998,Guadeloupe,"1,88m",2,4.3,2,25,6
163,66,Pape Abou Cissé,2,14 Eyl 1995,Senegal,"1,98m",2,3.7,2,28,6
164,4,Semih Güler,2,30 Kas 1994,Türkiye,"1,84m",2,1.5,2,28,6
165,13,Amir Feratovic,2,8 Haz 2002,Slovenya,"1,89m",1,400,1,21,6
166,21,Abdulsamet Burak,2,13-May-96,Türkiye,"1,83m",1,75,1,27,6
167,77,Kévin Rodrigues,3,5-Mar-94,Portekiz,"1,70m",1,2.2,2,29,6
168,3,Abdurrahim Dursun,3,1 Ara 1998,Türkiye,"1,76m",1,325,1,24,6
169,22,Jonas Svensson,4,6-Mar-93,Norveç,"1,70m",2,2.8,2,30,6
170,2,İsmail Çokçalış,4,21 Haz 2000,Türkiye,"1,75m",2,300,1,23,6
171,90,Benjamin Stambouli,5,13 Ağu 1990,Fransa,"1,80m",2,1,2,33,6
172,26,Dorukhan Toköz,6,21-May-96,Türkiye,"1,80m",2,4.2,2,27,6
173,20,Edouard Michut,6,4-Mar-03,Fransa,"1,77m",2,2.5,2,20,6
174,8,Emre Akbaba,6,4 Eki 1992,Türkiye,"1,80m",1,1.8,2,31,6
175,17,Badou Ndiaye,6,27 Eki 1990,Senegal,"1,80m",2,1.2,2,32,6
176,6,Tayfun Aydoğan,6,29-May-96,Türkiye,"1,75m",2,225,1,27,6
177,19,Mustafa Kapı,6,8 Ağu 2002,Türkiye,"1,75m",2,150,1,21,6
178,10,Younès Belhanda,7,25 Şub 1990,Fas,"1,75m",2,2,2,33,6
179,16,İzzet Çelik,7,20 Haz 2004,Türkiye,"1,66m",2,75,1,19,6
180,23,Arbër Zeneli,8,25 Şub 1995,Kosova,"1,76m",2,3,2,28,6
181,32,Yusuf Erdoğan,8,7 Ağu 1992,Türkiye,"1,71m",1,500,1,31,6
182,30,Nani,8,17 Kas 1986,Portekiz,"1,77m",3,400,1,36,6
183,7,Yusuf Sarı,9,20 Kas 1998,Türkiye,"1,68m",1,5,2,24,6
184,11,David Akintola,9,13 Oca 1996,Nijerya,"1,78m",2,2.2,2,27,6
185,29,Florent Shehu,9,17-May-02,İsviçre,"1,85m",1,50,1,21,6
186,9,M'Baye Niang,11,19 Ara 1994,Senegal,"1,88m",3,2.7,2,28,6
187,99,Mario Balotelli,11,12 Ağu 1990,İtalya,"1,89m",2,1.2,2,33,6
188,56,Yusuf Barası,11,31-Mar-03,Türkiye,"1,83m",2,550,1,20,6
189,94,Hamza Jaganjac,11,27 Şub 2004,Bosna-Hersek,"1,92m",2,50,1,19,6
190,1,Okan Kocuk,1,27 Tem 1995,Türkiye,"1,87m",2,800,1,28,7
191,29,Jakub Szumski,1,6-Mar-92,Polonya,"1,94m",2,200,1,31,7
192,45,Halil Yeral,1,1 Oca 2000,Türkiye,"1,90m",2,50,1,23,7
193,64,Taha Tosun,1,28 Nis 2005,Türkiye,"1,87m",2,50,1,18,7
194,22,Yunus Emre Çift,2,1 Eyl 2003,Türkiye,"1,85m",2,850,1,20,7
195,4,Rick van Drongelen,2,20 Ara 1998,Hollanda,"1,88m",1,800,1,24,7
196,37,Lubomir Satka,2,2 Ara 1995,Slovakya,"1,88m",2,650,1,27,7
197,5,Alim Öztürk,2,17 Kas 1992,Türkiye,"1,91m",2,350,1,30,7
198,96,Bedirhan Çetin,2,29 Haz 2006,Türkiye,"1,82m",2,50,1,17,7
199,16,Marc Bola,3,9 Ara 1997,İngiltere,"1,85m",1,1.5,2,25,7
200,28,Soner Gönül,3,11 Haz 1997,Türkiye,"1,77m",1,650,1,26,7
201,77,Enes Albak,3,16-May-05,Türkiye,"1,75m",1,75,1,18,7
202,17,Kingsley Schindler,4,12 Tem 1993,Gana,"1,83m",2,950,1,30,7
203,19,Nanu,4,17-May-94,Gine-Bissau,"1,77m",2,850,1,29,7
204,18,Zeki Yavru,4,5 Eyl 1991,Türkiye,"1,78m",2,350,1,32,7
205,24,Mickaël Tırpan,5,23 Eki 1993,Türkiye,"1,77m",2,650,1,29,7
206,6,Youssef Aït Bennasser,5,7 Tem 1996,Fas,"1,84m",2,600,1,27,7
207,88,Osman Çelik,5,27 Kas 1991,Türkiye,"1,82m",2,175,1,31,7
208,13,Flavien Tait,6,2 Şub 1993,Fransa,"1,76m",2,4.1,2,30,7
209,10,Olivier Ntcham,6,9 Şub 1996,Kamerun,"1,80m",2,3,2,27,7
210,48,Taylan Antalyalı,6,8 Oca 1995,Türkiye,"1,80m",2,2,2,28,7
211,23,Muhammed Gümüşkaya,6,1 Oca 2001,Türkiye,"1,77m",1,900,1,22,7
212,8,Soner Aydoğdu,6,5 Oca 1991,Türkiye,"1,80m",1,500,1,32,7
213,21,Carlo Holse,7,2 Haz 1999,Danimarka,"1,77m",1,3.3,2,24,7
214,20,Muhammet Ali Özbaskıcı,7,27 Eyl 2005,Türkiye,"1,72m",2,300,1,18,7
215,7,Moryké Fofana,8,23 Kas 1991,Fildişi Sahili,"1,75m",2,400,1,31,7
216,11,Emre Kılınç,9,23 Ağu 1994,Türkiye,"1,74m",1,2.5,2,29,7
217,14,Landry Dimata,11,1 Eyl 1997,Belçika,"1,85m",2,3.3,2,26,7
218,99,Ercan Kara,11,3 Oca 1996,Avusturya,"1,92m",2,2.5,2,27,7
219,9,Marius,11,22 Oca 1998,Cad,"1,90m",2,1.2,2,25,7
220,27,Gaëtan Laura,11,6 Ağu 1995,Kongo DC,"1,82m",2,900,1,28,7
221,1,Helton Leite,1,2 Kas 1990,Brezilya,"1,96m",2,1.2,2,32,8
222,23,Ataberk Dadakdeniz,1,5 Ağu 1999,Türkiye,"1,86m",2,250,1,24,8
223,12,Kağan Arıcan,1,10-Mar-06,Türkiye,"1,87m",2,50,1,17,8
224,34,Doğukan Özkan,1,4 Şub 2000,Türkiye,-,,50,1,23,8
225,21,Ömer Toprak,2,21 Tem 1989,Türkiye,"1,87m",2,700,1,34,8
226,89,Veysel Sarı,2,25 Tem 1988,Türkiye,"1,84m",2,400,1,35,8
227,3,Bahadir Öztürk,2,1 Eki 1995,Türkiye,"1,85m",2,300,1,28,8
228,44,Naldo,2,25 Ağu 1988,Brezilya,"1,88m",2,225,1,35,8
229,4,Amar Gerxhaliu,2,26 Nis 2002,Kosova,"1,93m",2,200,1,21,8
230,72,Harun Toprak,2,29 Nis 2005,Türkiye,-,,50,1,18,8
231,11,Güray Vural,3,11 Haz 1988,Türkiye,"1,77m",1,500,1,35,8
232,14,Erkan Eyibil,3,15 Haz 2001,Türkiye,"1,75m",1,225,1,22,8
233,-,Berat Pınar,3,12 Haz 2002,Türkiye,-,1,75,1,21,8
234,7,Bünyamin Balcı,4,31-May-00,Türkiye,"1,73m",2,3.7,2,23,8
235,27,Mert Yilmaz,4,8-Mar-99,Türkiye,"1,74m",2,125,1,24,8
236,19,Ufuk Akyol,5,27 Ağu 1997,Türkiye,"1,80m",2,1,2,26,8
237,18,Jakub Kaluzinski,5,31 Eki 2002,Polonya,"1,85m",3,650,1,20,8
238,8,Dario Saric,6,30-May-97,Bosna-Hersek,"1,80m",3,1.6,2,26,8
239,6,Erdal Rakip,6,13 Şub 1996,Kuzey Makedonya,"1,79m",2,1,2,27,8
240,30,Mustafa Erdilman,6,1 Oca 2004,Türkiye,-,1,175,1,19,8
241,5,Mevlüthan Ekelik,6,16 Ara 2004,Türkiye,"1,82m",2,100,1,18,8
242,22,Sander van de Streek,7,24-Mar-93,Hollanda,"1,80m",2,1.5,2,30,8
243,16,Ramzi Safuri,7,21 Eki 1995,İsrail,"1,84m",,1.1,2,27,8
244,20,Deni Milosevic,7,9-Mar-95,Bosna-Hersek,"1,83m",2,400,1,28,8
245,80,Emre Uzun,7,20 Haz 2005,Türkiye,"1,79m",1,50,1,18,8
246,38,Gerrit Holtmann,8,25-Mar-95,Filipinler,"1,85m",1,2.3,2,28,8
247,77,Zymer Bytyqi,8,11 Eyl 1996,Kosova,"1,76m",2,2,2,27,8
248,10,Sam Larsson,8,10 Nis 1993,İsveç,"1,80m",2,1.8,2,30,8
249,70,Ege Bilsel,8,4 Oca 2004,Türkiye,"1,75m",2,50,1,19,8
250,29,Sagiv Jehezkel,9,21-Mar-95,İsrail,"1,84m",2,1.6,2,28,8
251,17,Erdoğan Yeşilyurt,9,6 Kas 1993,Türkiye,"1,78m",3,1.3,2,29,8
252,-,Sinan Gümüş,9,15 Oca 1994,Türkiye,"1,79m",1,150,1,29,8
253,9,Adam Buksa,11,12 Tem 1996,Polonya,"1,93m",1,5,2,27,8
254,97,Britt Assombalonga,11,6 Ara 1992,Kongo DC,"1,77m",2,1.6,2,30,8
255,1,Rafal Gikiewicz,1,26 Eki 1987,Polonya,"1,90m",2,650,1,35,9
256,99,Bahadır Güngördü,1,16 Oca 1996,Türkiye,"1,90m",2,300,1,27,9
257,41,Doğukan Kaya,1,16 Oca 2000,Türkiye,"1,91m",2,75,1,23,9
258,18,Nihad Mujakic,2,15 Nis 1998,Bosna-Hersek,"1,89m",1,2,2,25,9
259,26,Uros Radakovic,2,31-Mar-94,Sırbistan,"1,94m",2,1.3,2,29,9
260,4,Atakan Çankaya,2,25 Haz 1998,Türkiye,"1,80m",2,1,2,25,9
261,45,Mert Çetin,2,1 Oca 1997,Türkiye,"1,89m",2,1,2,26,9
262,2,Alperen Kuyubaşı,2,26-May-00,Türkiye,"1,92m",2,150,1,23,9
263,5,Matej Hanousek,3,2 Haz 1993,Çek Cumhuriyeti,"1,82m",1,800,1,30,9
264,3,Alper Uludağ,3,11 Ara 1990,Türkiye,"1,80m",1,250,1,32,9
265,25,Enock Kwateng,4,9 Nis 1997,Fransa,"1,81m",2,1.4,2,26,9
266,77,Hayrullah Bilazer,4,20-May-95,Türkiye,"1,70m",2,900,1,28,9
267,70,Stelios Kitsiou,4,28 Eyl 1993,Yunanistan,"1,75m",2,800,1,30,9
268,16,Andrej Djokanovic,5,1-Mar-01,Bosna-Hersek,"1,80m",2,1.5,2,22,9
269,30,Tolga Ciğerci,5,23-Mar-92,Türkiye,"1,85m",2,700,1,31,9
270,10,Efkan Bekiroğlu,6,14 Eyl 1995,Türkiye,"1,85m",2,2.4,2,28,9
271,6,Cem Türkmen,6,29-Mar-02,Türkiye,"1,78m",2,1,2,21,9
272,8,Pedrinho,6,20 Ara 1992,Portekiz,"1,70m",2,700,1,30,9
273,23,Ali Kaan Güneren,6,8 Nis 2000,Türkiye,"1,83m",2,700,1,23,9
274,20,Enes Tepecik,7,11-Mar-04,Avusturya,"1,74m",1,125,1,19,9
275,11,Garry Rodrigues,8,27 Kas 1990,Yeşil Burun Adaları,"1,73m",2,1.8,2,32,9
276,29,Renaldo Cephas,8,8 Ara 1999,Jamaika,"1,79m",2,1,2,23,9
277,80,Olimpiu Morutan,9,25 Nis 1999,Romanya,"1,73m",1,4,2,24,9
278,7,Anastasios Chatzigiovanis,9,31-May-97,Yunanistan,"1,77m",2,1.5,2,26,9
279,21,Sirozhiddin Astanakulov,9,26 Oca 2006,Kırgızistan,-,1,50,1,17,9
280,22,Ali Sowe,11,14 Haz 1994,Gambiya,"1,91m",2,2.5,2,29,9
281,9,Riad Bajic,11,6-May-94,Bosna-Hersek,"1,89m",1,1.4,2,29,9
282,32,Federico Macheda,11,22 Ağu 1991,İtalya,"1,85m",2,450,1,32,9
283,61,Paul Bernardoni,1,18 Nis 1997,Fransa,"1,90m",1,2.3,2,26,10
284,1,Deniz Ertaş,1,20-Mar-05,Türkiye,-,,75,1,18,10
285,13,Mehmet Erdoğan,1,4 Tem 2004,Türkiye,"1,93m",2,50,1,19,10
286,4,Adil Demirbağ,2,10 Ara 1997,Türkiye,"1,85m",2,2,2,25,10
287,15,Francisco Calvo,2,8 Tem 1992,Kosta Rika,"1,84m",1,1.7,2,31,10
288,5,Uğurcan Yazğılı,2,9 Nis 1999,Türkiye,"1,84m",2,1,2,24,10
289,14,Metehan Mert,2,1-May-99,Türkiye,-,2,325,1,24,10
290,20,Kahraman Demirtaş,2,1-May-94,Türkiye,"1,84m",1,175,1,29,10
291,12,Guilherme,3,1 Nis 1990,Brezilya,"1,80m",1,1.1,2,33,10
292,3,Yasir Subaşı,3,1 Oca 1996,Türkiye,"1,80m",1,100,1,27,10
293,22,Ahmet Oğuz,4,16 Oca 1993,Türkiye,"1,76m",2,1,2,30,10
